	#	Name	Type 1	Type 2	Sp. Def	Speed	Total	HP	Attack	Defense	Sp. Atk	Sp. Def
0	1	Bulbasaur	Grass	Poison	65	45	844	45	49	49	65	65
1	2	Ivysaur	Grass	Poison	80	60	1075	60	62	63	80	80
2	3	Venusaur	Grass	Poison	100	80	1395	80	82	83	100	100
3	3	VenusaurMega Venusaur	Grass	Poison	120	80	1675	80	100	123	122	120
4	4	Charmander	Fire		50	65	812	39	52	43	60	50
5	5	Charmeleon	Fire		65	80	1070	58	64	58	80	65
6	6	Charizard	Fire	Flying	85	100	1417	78	84	78	109	85
7	6	CharizardMega Charizard X	Fire	Dragon	85	100	1717	78	130	111	130	85
8	6	CharizardMega Charizard Y	Fire	Flying	115	100	1687	78	104	78	159	115
9	7	Squirtle	Water		64	43	835	44	48	65	50	64
10	8	Wartortle	Water		80	58	1077	59	63	80	65	80
11	9	Blastoise	Water		105	78	1407	79	83	100	85	105
12	9	BlastoiseMega Blastoise	Water		115	78	1697	79	103	120	135	115
13	10	Caterpie	Bug		20	45	520	45	30	35	20	20
14	11	Metapod	Bug		25	30	560	50	20	55	25	25
15	12	Butterfree	Bug	Flying	80	70	1035	60	45	50	90	80
16	13	Weedle	Bug	Poison	20	50	515	40	35	30	20	20
17	14	Kakuna	Bug	Poison	25	35	555	45	25	50	25	25
18	15	Beedrill	Bug	Poison	80	75	1030	65	90	40	45	80
19	15	BeedrillMega Beedrill	Bug	Poison	80	145	1260	65	150	40	15	80
20	16	Pidgey	Normal	Flying	35	56	662	40	45	40	35	35
21	17	Pidgeotto	Normal	Flying	50	71	926	63	60	55	50	50
22	18	Pidgeot	Normal	Flying	70	101	1266	83	80	75	70	70
23	18	PidgeotMega Pidgeot	Normal	Flying	80	121	1536	83	80	80	135	80
24	19	Rattata	Normal		35	72	652	30	56	35	25	35
25	20	Raticate	Normal		70	97	1072	55	81	60	50	70
26	21	Spearow	Normal	Flying	31	70	685	40	60	30	31	31
27	22	Fearow	Normal	Flying	61	100	1165	65	90	65	61	61
28	23	Ekans	Poison		54	55	755	35	60	44	40	54
29	24	Arbok	Poison		79	80	1155	60	85	69	65	79
30	25	Pikachu	Electric		50	90	820	35	55	40	50	50
31	26	Raichu	Electric		80	110	1265	60	90	55	90	80
32	27	Sandshrew	Ground		30	40	830	50	75	85	20	30
33	28	Sandslash	Ground		55	65	1230	75	100	110	45	55
34	29	Nidoran (Female)	Poison		40	41	744	55	47	52	40	40
35	30	Nidorina	Poison		55	56	984	70	62	67	55	55
36	31	Nidoqueen	Poison	Ground	85	76	1354	90	92	87	75	85
37	32	Nidoran (Male)	Poison		40	50	729	46	57	40	40	40
38	33	Nidorino	Poison		55	65	975	61	72	57	55	55
39	34	Nidoking	Poison	Ground	75	85	1355	81	102	77	85	75
40	35	Clefairy	Fairy		65	35	869	70	45	48	60	65
41	36	Clefable	Fairy		90	60	1299	95	70	73	95	90
42	37	Vulpix	Fire		65	65	767	38	41	40	50	65
43	38	Ninetales	Fire		100	100	1315	73	76	75	81	100
44	39	Jigglypuff	Normal	Fairy	25	20	765	115	45	20	45	25
45	40	Wigglytuff	Normal	Fairy	50	45	1210	140	70	45	85	50
46	41	Zubat	Poison	Flying	40	55	640	40	45	35	30	40
47	42	Golbat	Poison	Flying	75	90	1200	75	80	70	65	75
48	43	Oddish	Grass	Poison	65	30	865	45	50	55	75	65
49	44	Gloom	Grass	Poison	75	40	1070	60	65	70	85	75
50	45	Vileplume	Grass	Poison	90	50	1330	75	80	85	110	90
51	46	Paras	Bug	Grass	55	25	775	35	70	55	45	55
52	47	Parasect	Bug	Grass	80	30	1105	60	95	80	60	80
53	48	Venonat	Bug	Poison	55	45	815	60	55	50	40	55
54	49	Venomoth	Bug	Poison	75	90	1185	70	65	60	90	75
55	50	Diglett	Ground		45	95	655	10	55	25	35	45
56	51	Dugtrio	Ground		70	120	1025	35	80	50	50	70
57	52	Meowth	Normal		40	90	740	40	45	35	40	40
58	53	Persian	Normal		65	115	1140	65	70	60	65	65
59	54	Psyduck	Water		50	55	855	50	52	48	65	50
60	55	Golduck	Water		80	85	1335	80	82	78	95	80
61	56	Mankey	Fighting		45	70	800	40	80	35	35	45
62	57	Primeape	Fighting		70	95	1200	65	105	60	60	70
63	58	Growlithe	Fire		50	60	940	55	70	45	70	50
64	59	Arcanine	Fire		80	95	1490	90	110	80	100	80
65	60	Poliwag	Water		40	90	770	40	50	40	40	40
66	61	Poliwhirl	Water		50	90	1015	65	65	65	50	50
67	62	Poliwrath	Water	Fighting	90	70	1370	90	95	95	70	90
68	63	Abra	Psychic		55	90	785	25	20	15	105	55
69	64	Kadabra	Psychic		70	105	1025	40	35	30	120	70
70	65	Alakazam	Psychic		95	120	1285	55	50	45	135	95
71	65	AlakazamMega Alakazam	Psychic		95	150	1525	55	50	65	175	95
72	66	Machop	Fighting		35	35	845	70	80	50	35	35
73	67	Machoke	Fighting		60	45	1110	80	100	70	50	60
74	68	Machamp	Fighting		85	55	1375	90	130	80	65	85
75	69	Bellsprout	Grass	Poison	30	40	830	50	75	35	70	30
76	70	Weepinbell	Grass	Poison	45	55	1070	65	90	50	85	45
77	71	Victreebel	Grass	Poison	70	70	1330	80	105	65	100	70
78	72	Tentacool	Water	Poison	100	70	835	40	40	35	50	100
79	73	Tentacruel	Water	Poison	120	100	1325	80	70	65	80	120
80	74	Geodude	Rock	Ground	30	20	850	40	80	100	30	30
81	75	Graveler	Rock	Ground	45	35	1090	55	95	115	45	45
82	76	Golem	Rock	Ground	65	45	1375	80	120	130	55	65
83	77	Ponyta	Fire		65	90	1075	50	85	55	65	65
84	78	Rapidash	Fire		80	105	1315	65	100	70	80	80
85	79	Slowpoke	Water	Psychic	40	15	890	90	65	65	40	40
86	80	Slowbro	Water	Psychic	80	30	1360	95	75	110	100	80
87	80	SlowbroMega Slowbro	Water	Psychic	80	30	1660	95	75	180	130	80
88	81	Magnemite	Electric	Steel	55	45	875	25	35	70	95	55
89	82	Magneton	Electric	Steel	70	70	1255	50	60	95	120	70
90	83	Farfetch'd	Normal	Flying	62	60	934	52	65	55	58	62
91	84	Doduo	Normal	Flying	35	75	820	35	85	45	35	35
92	85	Dodrio	Normal	Flying	60	100	1220	60	110	70	60	60
93	86	Seel	Water		70	45	860	65	45	55	45	70
94	87	Dewgong	Water	Ice	95	70	1260	90	70	80	70	95
95	88	Grimer	Poison		50	25	900	80	80	50	40	50
96	89	Muk	Poison		100	50	1350	105	105	75	65	100
97	90	Shellder	Water		25	40	850	30	65	100	45	25
98	91	Cloyster	Water	Ice	45	70	1460	50	95	180	85	45
99	92	Gastly	Ghost	Poison	35	80	815	30	35	30	100	35
100	93	Haunter	Ghost	Poison	55	95	1065	45	50	45	115	55
101	94	Gengar	Ghost	Poison	75	110	1315	60	65	60	130	75
102	94	GengarMega Gengar	Ghost	Poison	95	130	1575	60	65	80	170	95
103	95	Onix	Rock	Ground	45	70	1040	35	45	160	30	45
104	96	Drowzee	Psychic		90	42	852	60	48	45	43	90
105	97	Hypno	Psychic		115	67	1267	85	73	70	73	115
106	98	Krabby	Water		25	50	900	30	105	90	25	25
107	99	Kingler	Water		50	75	1300	55	130	115	50	50
108	100	Voltorb	Electric		55	100	835	40	30	50	55	55
109	101	Electrode	Electric		80	140	1220	60	50	70	80	80
110	102	Exeggcute	Grass	Psychic	45	40	890	60	40	80	60	45
111	103	Exeggutor	Grass	Psychic	65	55	1440	95	95	85	125	65
112	104	Cubone	Ground		50	35	875	50	50	95	40	50
113	105	Marowak	Ground		80	45	1150	60	80	110	50	80
114	106	Hitmonlee	Fighting		110	87	1168	50	120	53	35	110
115	107	Hitmonchan	Fighting		110	76	1179	50	105	79	35	110
116	108	Lickitung	Normal		75	30	1050	90	55	75	60	75
117	109	Koffing	Poison		45	35	940	40	65	95	60	45
118	110	Weezing	Poison		70	60	1340	65	90	120	85	70
119	111	Rhyhorn	Ground	Rock	30	25	980	80	85	95	30	30
120	112	Rhydon	Ground	Rock	45	40	1370	105	130	120	45	45
